,Websites,Popularity (unique visitors per month)[1],Front-end (Client-side),Back-end (Server-side),Database,Notes
0,Google[2],2800000000,"JavaScript, TypeScript","C, C++, Go,[3] Java, Python, Node","Bigtable,[4] MariaDB[5]",The most used search engine in the world.
1,Facebook,1120000000,"JavaScript, Typescript, Flow","Hack/HHVM, Python, C++, Java, Erlang, D,[6] Haskell[7]","MariaDB, MySQL,[8] HBase, Cassandra[9]",The most visited social networking site.
2,YouTube,1100000000,"JavaScript, TypeScript","Python, C, C++, Java,[10] Go[11]","Vitess, BigTable, MariaDB[5][12]",The most popular video sharing site.
3,Yahoo,750000000,JavaScript,PHP,"PostgreSQL, HBase, Cassandra, MongoDB,[13]",
4,Etsy,"516,000,000 (Total, not unique)[14]",JavaScript,PHP[15][16],"MySQL, Redis[17]",E-commerce website.
5,Amazon,"2,400,000,000[18]",JavaScript,"Java, C++, Perl[19]","DynamoDB, RDS/Aurora, Redshift[20]",The most used e-commerce site in the world.
6,Wikipedia,475000000,JavaScript,PHP,MariaDB[21],"A free online encyclopedia based on MediaWiki, which is programmed in PHP."
7,Fandom,"315,000,000[22]",JavaScript,PHP,MySQL,Wiki hosting service.
8,X,290000000,JavaScript,"C++, Java,[23] Scala,[24] Ruby (Ruby On Rails)",MySQL[25],Popular social network.
9,Bing,285000000,JavaScript,"C++, C#","Microsoft SQL Server, Cosmos DB",Search engine from Microsoft.
10,eBay,285000000,JavaScript,"Java,[26] JavaScript,[27] Scala[28]",Oracle Database,Online auction house.
11,MSN,280000000,JavaScript,C# (ASP.NET),Microsoft SQL Server,"An email client, for simple use. Previously known as ""messenger"", not to be confused with Facebook's messaging platform."
12,LinkedIn,260000000,JavaScript,"Java, JavaScript,[29] Scala",Venice[30][31],World's largest professional network.
13,Pinterest,250000000,JavaScript,"Python (Django),[32] Erlang, Elixir[33]","MySQL, Redis[34]",Search engine for ideas.
14,WordPress.com,"240,000,000 [35]",JavaScript,PHP[36],MariaDB[37],Website manager software.
15,Netflix,"223.090.000 (Subscribers, not visitors)",JavaScript,"Python, Java[38]","NMDB,[39] PostgreSQL",The biggest video streaming service in the world.
